extern_id;term;Aantal
DAI069191298;D41400;2
DAI069191298;D42200;2
DAI068531400;D23350;1
DAI070049564;D33000;1
DAI068413181;D33000;2
DAI068413181;E13000;2
DAI068277482;D41400;2
DAI068277482;D42200;2
DAI068302371;D41200;1
DAI068356897;D41500;3
DAI068356897;D41600;3
DAI068356897;D68000;3
DAI068186665;D41300;1
DAI07047575X;D41500;3
DAI07047575X;D41600;3
DAI07047575X;D70000;3
DAI111175305;D21400;2
DAI111175305;D21500;2
DAI06840459X;D23350;2
DAI06840459X;D23362;2
DAI067800610;D23231;1
DAI068567936;D23340;1
DAI069555400;D23232;1
DAI068351852;D21700;2
DAI068351852;D23231;2
DAI068698933;D21700;3
DAI068698933;D23100;3
DAI068698933;D23221;3
DAI159657512;D23231;2
DAI159657512;D23310;2
DAI068412711;D22100;2
DAI068412711;D23110;2
DAI068917678;D23232;1
DAI068653433;D11100;3
DAI068653433;D16200;3
DAI068653433;D16300;3
DAI096168439;D12200;1
DAI069000751;D15700;1
DAI074578804;D23340;1
DAI112067301;D11200;3
DAI112067301;D11300;3
DAI112067301;D11400;3
DAI113229100;D13700;1
DAI074851357;D12800;2
DAI074851357;E16000;2
DAI067689760;D22300;3
DAI067689760;D50000;3
DAI067689760;D61000;3
DAI074127888;D12200;1
DAI070864543;D21200;1
DAI140659617;D18210;4
DAI140659617;D21700;4
DAI140659617;D22500;4
DAI140659617;E11000;4
DAI072834870;D17000;1
DAI068413025;D11000;2
DAI068413025;D16000;2
DAI159054885;D13500;1
DAI142356573;D21200;1
DAI112147097;D13100;1
DAI304845698;D12600;1
DAI074766252;D11200;2
DAI074766252;D11500;2
DAI074613502;D11000;1
DAI069184364;D11000;2
DAI069184364;D16000;2
DAI06840171X;D22200;1
DAI06785267X;D13300;2
DAI06785267X;D21300;2
DAI068427956;D21300;1
DAI070710945;D12200;1
DAI070557179;D15600;1
DAI071784810;D36000;3
DAI071784810;D36300;3
DAI071784810;D52000;3
DAI074885081;D35000;1
DAI06940111X;D35100;2
DAI06940111X;D35200;2
DAI073182737;D35300;1
DAI068401965;D36000;2
DAI068401965;D36300;2
DAI067548148;D35000;3
DAI067548148;D36000;3
