Code;EN;NL
Access;Access;Access
AccessCat;Open access?;Open access?
Apply;Apply;Toepassen
ApplyImmediate;Apply changes immediately;Pas veranderingen direct toe
BronCat;Source category;Broncategorie
Color;Coloring;Kleuring
DeSelectAll;Deselect all;Deselecteer alles
Fill;Fill to 100%;Opvullen tot 100%
Layout;Layout;Opmaak
Legend;Legend;Legenda
LegendTitle;Legend title;Legenda-titel
Loading_graph_panel;Loading graph;Bezig met laden...
Loading_page;Loading page;Bezig met laden...
Title;NARCIS;NARCIS
PercLineFor;Percentage line indicates ...;Percentagelijn voor ...
Plot;Plot;Plot
Invalidgraph;Plot is not yet updated;Grafiek is nog niet bijgewerkt
PubTypes;Publication types;Soorten publicaties
RestValues;Show restcategory;Restwaarden tonen
SelectAll;Select All;Selecteer alles
Selection;Selection;Selectie
Source;Source;Bron
Sources;Sources;Bronnen
Type;Type;Type
X;x;x
Xaxis;x-axis;x-as
XAxisLabel;x-axis label;Label bij x-as
Y;y;y
Y2;y2;y2
YAxis1Label;y-axis label;Label bij y-as
YAxis2Label;Right y-axis label;Label bij rechter y-as
Year;Year;Jaar
YearFrom;From;Van
YearTo;Until (incl);t/m
Language;Language;Taal
EN;English;Engels
NL;Dutch;Nederlands
NoCols;No colouring;Geen kleuring
Bron;Source;Bron
PercGeneral;General options;Algemene opties
PercSpec;One value;Enkele waarde
NoLine;No line;Geen lijn
