Code;EN;NL
Apply;Apply;Toepassen
Applydirect;Apply changes immediately;Pas veranderingen direct toe
Source;Source;Bron
SelectAll;Select All;Selecteer alles
DeSelect All;Deselect all;Deselecteer alles
BronTypes;Source types;Types Bronnen
Sources;Sources;Bronnen
Selection;Selection;Selectie
9;9;109
10;10;110
Year;Year;Jaar
12;12;Jaartal van
13;13;Jaartal tot
14;14;Restwaarden tonen
15;15;115
16;16;116
17;17;117
18;18;118
19;19;119
20;20;120
21;21;Soort
22;22;Selecteer alles
23;23;Deselecteer alles
24;24;Soorten publicaties
25;25;125
26;26;126
27;27;127
28;28;128
29;29;129
30;30;130
31;31;Access
32;32;Access-categorie
33;33;133
34;34;134
35;35;135
36;36;136
37;37;137
38;38;138
39;39;139
40;40;140
41;41;Plot
42;42;X-as
43;43;Kleur
44;44;Percentagelijn voor
45;45;Opvullen
46;46;146
47;47;147
48;48;148
49;49;149
50;50;150
51;51;NARCIS
52;52;Grafiek nog niet bijgewerkt
53;53;Bezig met laden...
54;54;Bezig met laden...
55;55;155
56;56;156
57;57;157
58;58;158
59;59;159
60;60;160
61;61;Opmaak
62;62;X
63;63;Label bij X-as
64;64;Label bij Y-as
65;65;165
66;66;166
67;67;167
68;68;168
69;69;169
70;70;170
71;71;Y
72;72;Label bij Y-as
73;73;Y2
74;74;Label rechter Y-as
75;75;175
76;76;176
77;77;177
78;78;178
79;79;179
80;80;180
81;81;Legenda
82;82;Legenda-titel
